"junit.textui.ResultPrinter:printDefects","junit.textui.ResultPrinter:getWriter"
"junit.awtui.TestRunner:reset","junit.awtui.ProgressBar:reset"
"junit.swingui.TestHierarchyRunView:revealFailure","junit.swingui.TestTreeModel:getRoot"
"junit.swingui.TestHierarchyRunView:activate","junit.swingui.TestHierarchyRunView:testSelected"
"junit.swingui.TestRunner:insertUpdate","junit.swingui.TestRunner:textChanged"
"junit.textui.ResultPrinter:print","junit.textui.ResultPrinter:printErrors"
"junit.extensions.ActiveTestSuite:run","junit.extensions.ActiveTestSuite:waitUntilFinished"
"junit.textui.ResultPrinter:printHeader","junit.textui.ResultPrinter:elapsedTimeAsString"
"junit.swingui.TestRunner:doRunTest","junit.swingui.TestRunner:createTestResult"
"junit.swingui.CounterPanel:addToGrid","junit.swingui.CounterPanel:add"
"junit.awtui.TestRunner:runSuite","junit.awtui.TestRunner:getTest"
"junit.swingui.TestRunner:runSuite","junit.swingui.TestRunner:getSuiteText"
"junit.swingui.TestTreeModel:getIndexOfChild","junit.swingui.TestTreeModel:isTestSuite"
"junit.swingui.TestSuitePanel:endTest","junit.swingui.TestTreeModel:addRunTest"
"junit.swingui.TestSelector:okSelected","junit.swingui.TestSelector:dispose"
"junit.extensions.TestDecorator:run","junit.extensions.TestDecorator:basicRun"
"junit.framework.TestResult:wasSuccessful","junit.framework.TestResult:errorCount"
"junit.swingui.TestRunner:rerunTest","junit.swingui.TestRunner:getLoader"
"junit.swingui.TestHierarchyRunView:revealFailure","junit.swingui.TestSuitePanel:getTree"
"junit.swingui.TestRunner:showStatus","junit.swingui.StatusLine:showError"
"junit.awtui.TestRunner:createMenus","junit.awtui.TestRunner:createJUnitMenu"
"junit.textui.ResultPrinter:printWaitPrompt","junit.textui.ResultPrinter:getWriter"
"junit.textui.ResultPrinter:printErrors","junit.framework.TestResult:errorCount"
"junit.swingui.TestRunner:removeUpdate","junit.swingui.TestRunner:textChanged"
"junit.swingui.TestHierarchyRunView:revealFailure","junit.swingui.TestTreeModel:getChild"
"junit.framework.TestCase:toString","junit.framework.TestCase:getName"
"junit.textui.ResultPrinter:addError","junit.textui.ResultPrinter:getWriter"
"junit.awtui.TestRunner:rerunTest","junit.awtui.TestRunner:getLoader"
"junit.runner.TestCaseClassLoader:loadClass","junit.runner.TestCaseClassLoader:defineClass"
"junit.framework.TestSuite:countTestCases","junit.framework.TestSuite:tests"
"junit.textui.ResultPrinter:print","junit.textui.ResultPrinter:printFailures"
"junit.swingui.StatusLine:showError","junit.swingui.StatusLine:setForeground"
"junit.textui.TestRunner:main","junit.framework.TestResult:wasSuccessful"
"junit.swingui.TestRunner:browseTestClasses","junit.swingui.TestRunner:createTestCollector"
"junit.swingui.TestHierarchyRunView:aboutToStart","junit.swingui.TestSuitePanel:showTestTree"
"junit.awtui.ProgressBar:start","junit.awtui.ProgressBar:reset"
"junit.swingui.TestRunner:doRunTest","junit.swingui.TestRunner:aboutToStart"
"junit.framework.TestResult:run","junit.framework.TestResult:endTest"
"junit.swingui.FailureRunView:getSelectedTest","junit.framework.TestFailure:failedTest"
"junit.swingui.TestRunner:runSuite","junit.swingui.TestRunner:reset"
"junit.swingui.TestSuitePanel:addError","junit.swingui.TestTreeModel:addError"
"junit.runner.BaseTestRunner:getTest","junit.runner.BaseTestRunner:clearStatus"
"junit.swingui.TestRunner:createMenus","junit.swingui.TestRunner:createJUnitMenu"
"junit.runner.BaseTestRunner:addError","junit.runner.BaseTestRunner:testFailed"
"junit.awtui.TestRunner:createUI","junit.awtui.TestRunner:createCounterPanel"
"junit.swingui.TestRunner:textChanged","junit.swingui.TestRunner:getSuiteText"
"junit.textui.ResultPrinter:printFooter","junit.textui.ResultPrinter:getWriter"
"junit.awtui.ProgressBar:paintBackground","junit.awtui.ProgressBar:getBounds"
"junit.swingui.TestRunner:runSuite","junit.swingui.TestRunner:getTest"
"junit.swingui.TestRunner:runTest","junit.framework.TestResult:stop"
"junit.textui.TestRunner:run","junit.textui.TestRunner:doRun"
"junit.awtui.TestRunner:runSuite","junit.awtui.TestRunner:setLoading"
"junit.runner.TestCaseClassLoader:loadClass","junit.runner.TestCaseClassLoader:findLoadedClass"
"junit.textui.ResultPrinter:printFailures","junit.textui.ResultPrinter:printDefects"
"junit.textui.ResultPrinter:printDefect","junit.textui.ResultPrinter:printDefectHeader"
"junit.awtui.ProgressBar:paintStep","junit.awtui.ProgressBar:repaint"
